Year,School,Speaker,SpeakerTitle,SpeakerFirst,SpeakerMiddle,SpeakerLast,EventType,ControversyTopic,DisinvitationYN,FromRightorLeftofSpeaker
2000,Old Dominion University,Fred Rogers,,Fred,,Rogers,Commencement,Other,No,N/A
2000,Marist College,Bob Kerrey,,Bob,,Kerrey,Commencement,Views on Abortion/Contraception,No,From the Right
2000,"University of California, Berkeley",Madeline Albright,,Madeline,,Albright,Commencement,"Other Political Views or Positions, Criminal/Other Misconduct",No,From the Left
2000,George Washington University ,Madeline Albright,,Madeline,,Albright,Commencement,"Other Political Views or Positions, Criminal/Other Misconduct",No,From the Right
2000,Antioch College,Mumia Abu-Jamal,,Mumia,,Abu-Jamal,Commencement,Criminal/Other Misconduct,No,From the Right
2000,"University of Texas, Austin",Henry Kissinger,,Henry,,Kissinger,Campus Speech/Debate,"Other Political Views or Positions, Criminal/Other Misconduct, Other",Yes,From the Left
2001,Cornell University,Ann Coulter,,Ann,,Coulter,Commencement,"Racial Issues, Other Political Views or Positions",No,From the Left
2001,Seton Hall University,Dolores Cross,,Dolores,,Cross,Commencement,Views on Abortion/Contraception,No,From the Right
2001,Yale University,George W. Bush,,George W.,,Bush,Commencement,Other Political Views or Positions,No,From the Left
2001,Stanford University,Carly Fiorina,,Carly,,Fiorina,Commencement,"Other Political Views or Positions, Other",No,From the Left
2002,Middlebury College,Ari Fleischer,,Ari,,Fleischer,Campus Speech/Debate,Other Political Views or Positions,No,From the Left
2002,"University of California, Berkeley	",Jonny Moseley,,Jonny,,Moseley,Commencement,Other,No,From the Right
2002,Ohio State University,George W. Bush,,George W.,,Bush,Commencement,Other Political Views or Positions,No,From the Left
2002,James Madison University ,Doris Kearns Goodwin,,Doris Kearns,,Goodwin,Commencement,Criminal/Other Misconduct,Yes,N/A
2002,Syracuse University,Rudolph Giuliani,,Rudolph,,Giuliani,Commencement,Racial Issues,No,From the Left
2002,Harvard University,Tom Paulin,,Tom,,Paulin,Campus Speech/Debate,"Views on Israeli-Palestinian Conflict, Other Political Views or Positions",Yes,From the Right
2002,"University of California, Los Angeles",Laura Bush,,Laura,,Bush,Commencement,"Other Political Views or Positions, Other",Yes,From the Left
2002,"California State University, Sacramento","Janis Besler	 Heaphy",,"Janis Besler	",,Heaphy,Commencement,"Other Political Views or Positions, Civil Liberties",Yes,From the Right
2002,University of Delaware,Doris Kearns Goodwin,,Doris Kearns,,Goodwin,Commencement,Criminal/Other Misconduct,Yes,N/A
2002,College of the Holy Cross,Frances Kissling,,Frances,,Kissling,Campus Speech/Debate,"Views on Abortion/Contraception, Views on Gender",Yes,From the Right
2002,Stanford Law School,Lynne Stewart,,Lynne,,Stewart,Teaching,"Other Political Views or Positions, Other",Yes,From the Right
2002,Harvard University,Zayed Yasin,,Zayed,,Yasin,Commencement,"Views on Islam, Views on Israeli-Palestinian Conflict",No,From the Right
2002,Stanford University,Condoleezza Rice,,Condoleezza,,Rice,Commencement,Other Political Views or Positions,No,From the Left
2003,Schenectady County Community College,Scott Ritter,,Scott,,Ritter,Campus Speech/Debate,"Other Political Views or Positions, Criminal/Other Misconduct",Yes,From the Right
2003,Princeton University,Fred Hargadon,,Fred,,Hargadon,Commencement,Views on Sexual Orientation,No,From the Left
2003,Guilford College,Howard Coble,,Howard,,Coble,Commencement,Civil Liberties,Yes,From the Left
2003,College of the Holy Cross,Chris Matthews,,Chris,,Matthews,Commencement,Views on Abortion/Contraception,No,From the Right
2003,"Saint Louis University	",Donald J. Carty,,Donald J.,,Carty,Commencement,"Criminal/Other Misconduct, Other",Yes,N/A
2003,"Washington College (Chestertown, MD)",Scott Ritter,,Scott,,Ritter,Campus Speech/Debate,"Other Political Views or Positions, Criminal/Other Misconduct",No,From the Right
