trafficLight,Year,School,Speaker,SpeakerTitle,SpeakerFirst,SpeakerMiddle,SpeakerLast,EventType,ControversyTopic,DisinvitationYN,FromRightorLeftofSpeaker,id,trafficId,disinvitationId,trafficDisinviteId
green,2006,"University of California, Los Angeles",Yaron Brook,,Yaron,,Brook,Campus Speech/Debate,"Views on Islam, Other Political Views or Positions",No,From the Left,72,3,1,1
green,2009,University of North Carolina School of Law,Michael  Mukasey,,Michael ,,Mukasey,Commencement,Other Political Views or Positions,No,From the Left,128,6,2,2
green,2009,Arizona State University,Barack Obama,,Barack,,Obama,Commencement,"Other Political Views or Positions, Other",No,From the Right,136,7,3,3
green,2012,Emory University,Ben Carson,,Ben,,Carson,Commencement,Evolution/Scientific Views,No,From the Left,204,11,4,4
green,2015,"University of California, Los Angeles",Cornel West,,Cornel,,West,Campus Speech/Debate,Views on Israeli-Palestinian Conflict,No,From the Right,285,14,5,5
green,2018,University of Chicago,Stephen Bannon,,Stephen,,Bannon,Campus Speech/Debate,"Racial Issues, Views on Islam, Other Political Views or Positions, Views on Immigration",No,From the Left,370,22,6,6
green,2018,University of New Hampshire,Dave Rubin,,Dave,,Rubin,Campus Speech/Debate,"Racial Issues, Views on Gender, Views on Immigration",No,From the Left,377,23,7,7
green,2018,University of Maryland,Nigel Farage,,Nigel,,Farage,Campus Speech/Debate,"Racial Issues, Views on Immigration",No,From the Left,378,24,8,8
green,2002,"University of California, Los Angeles",Laura Bush,,Laura,,Bush,Commencement,"Other Political Views or Positions, Other",Yes,From the Left,17,1,207,9
green,2004,George Mason University,Michael Moore,,Michael,,Moore,Campus Speech/Debate,Other Political Views or Positions,Yes,From the Right,40,2,208,10
green,2007,"Emory University	",David Horowitz,,David,,Horowitz,Campus Speech/Debate,"Views on Sexual Orientation, Racial Issues, Other Political Views or Positions",Yes,From the Left,97,4,209,11
green,2009,University of California - Los Angeles Anderson School of Management,Meg Whitman,,Meg,,Whitman,Commencement,Views on Sexual Orientation,Yes,From the Left,127,5,210,12
green,2009,University of Chicago,Ehud Olmert,,Ehud,,Olmert,Campus Speech/Debate,Views on Israeli-Palestinian Conflict,Yes,From the Left,138,8,211,13
green,2009,University of California - Los Angeles,James Franco,,James,,Franco,Commencement,Other,Yes,N/A,139,9,212,14
green,2011,University of Pennsylvania,Eric Cantor,,Eric,,Cantor,Campus Speech/Debate,Other Political Views or Positions,Yes,From the Left,172,10,213,15
green,2013,University of Pennsylvania,Narendra Modi,,Narendra,,Modi,Campus Speech/Debate,Other Political Views or Positions,Yes,From the Left,234,12,214,16
green,2015,Duke University,Asra Nomani,,Asra,,Nomani,Campus Speech/Debate,Views on Islam,Yes,From the Left,277,13,215,17
green,2016,University of Pennsylvania,John Brennan,,John,,Brennan,Campus Speech/Debate,Civil Liberties,Yes,From the Left,291,15,216,18
green,2016,University of Chicago,Anita Alvarez,,Anita,,Alvarez,Campus Speech/Debate,Racial Issues,Yes,From the Left,302,16,217,19
green,2016,University of Chicago,Bassem Eid,,Bassem,,Eid,Campus Speech/Debate,Views on Israeli-Palestinian Conflict,Yes,From the Left,303,17,218,20
green,2016,University of Chicago,Ryan Bomberger,,Ryan,,Bomberger,Campus Speech/Debate,Views on Abortion/Contraception,Yes,From the Left,328,18,219,21
green,2017,Claremont McKenna College,Heather Mac Donald,,Heather,,Mac Donald,Campus Speech/Debate,Racial Issues,Yes,From the Left,356,19,220,22
green,2017,"University of California, Los Angeles",Eugene Volokh,,Eugene,,Volokh,Campus Speech/Debate,Civil Liberties,Yes,From the Left,360,20,221,23
green,2017,College of William & Mary,Claire Guthrie,,Claire,,Guthrie,Campus Speech/Debate,"Racial Issues, Civil Liberties",Yes,From the Left,368,21,222,24
none,2000,Marist College,Bob Kerrey,,Bob,,Kerrey,Commencement,Views on Abortion/Contraception,No,From the Right,2,25,9,25
none,2000,Antioch College,Mumia Abu-Jamal,,Mumia,,Abu-Jamal,Commencement,Criminal/Other Misconduct,No,From the Right,5,26,10,26
none,2001,Seton Hall University,Dolores Cross,,Dolores,,Cross,Commencement,Views on Abortion/Contraception,No,From the Right,8,27,11,27
none,2003,"Washington College (Chestertown, MD)",Scott Ritter,,Scott,,Ritter,Campus Speech/Debate,"Other Political Views or Positions, Criminal/Other Misconduct",No,From the Right,29,31,12,28
none,2003,St. Joseph's University,Rick Santorum,,Rick,,Santorum,Commencement,Views on Sexual Orientation,No,From the Left,31,32,13,29
none,2004,Villanova University,Caroll Spinney,,Caroll,,Spinney,Commencement,Other,No,N/A,35,34,14,30
none,2005,Santa Monica College,Arnold Schwarzenegger,,Arnold,,Schwarzenegger,Commencement,"Other Political Views or Positions, Local Politics",No,From the Left,47,39,15,31
none,2005,Calvin College,George W. Bush,,George W.,,Bush,Commencement,"Other Political Views or Positions, Civil Liberties",No,From the Left,49,40,16,32
none,2005,"University of Hawaii, Manoa",Ward Churchill,,Ward,,Churchill,Campus Speech/Debate,Other Political Views or Positions,No,From the Right,55,42,17,33
none,2005,"University of Wisconsin, Whitewater",Ward Churchill,,Ward,,Churchill,Campus Speech/Debate,Other Political Views or Positions,No,From the Right,58,45,18,34
none,2005,Butler University,David Horowitz,,David,,Horowitz,Campus Speech/Debate,Other Political Views or Positions,No,From the Left,59,46,19,35
none,2005,Earlham College,William Kristol,,William,,Kristol,Campus Speech/Debate,Other Political Views or Positions,No,From the Left,69,48,20,36
none,2006,"Catholic University of America	",Bob Casey,,Bob,,Casey,Campus Speech/Debate,"Views on Abortion/Contraception, Views on Sexual Orientation",No,From the Right,71,49,21,37
none,2006,Nova Southeastern University,Salman Rushdie,,Salman,,Rushdie,Commencement,Views on Islam,No,From the Left,77,50,22,38
none,2006,Oklahoma State University,George W. Bush,,George W.,,Bush,Commencement,Other Political Views or Positions,No,From the Left,78,51,23,39
none,2006,New School,John McCain,,John,,McCain,Commencement,"Views on Sexual Orientation, Other Political Views or Positions",No,From the Left,83,52,24,40
none,2007,"Brigham Young University	",Dick Cheney,,Dick,,Cheney,Commencement,Other Political Views or Positions,No,From the Left,90,53,25,41
none,2007,"Saint Mary's College	",Samuel Alito,,Samuel,,Alito,Commencement,Views on Gender,No,From the Left,94,55,26,42
none,2007,Regent University,Mitt Romney,,Mitt,,Romney,Commencement,Speaker's Religion,No,N/A,100,56,27,43
none,2007,"St. Vincent College	",George W. Bush,,George W.,,Bush,Commencement,Other Political Views or Positions,No,From the Left,104,59,28,44
none,2008,"Washington University in St. Louis	",Phyllis Schlafly,,Phyllis,,Schlafly,Commencement,"Views on Abortion/Contraception, Views on Gender, Other Political Views or Positions",No,From the Left,111,61,29,45
none,2009,DePaul University,Natan Sharansky,,Natan,,Sharansky,Campus Speech/Debate,Views on Israeli-Palestinian Conflict,No,From the Left,125,68,30,46
none,2009,Xavier University of Louisiana,Donna Brazile,,Donna,,Brazile,Commencement,Views on Abortion/Contraception,No,From the Right,126,69,31,47
none,2009,Millersville University,William Ayers,,William,,Ayers,Campus Speech/Debate,Criminal/Other Misconduct,No,From the Right,141,73,32,48
none,2009,Saint Mary's College,William Ayers,,William,,Ayers,Campus Speech/Debate,Criminal/Other Misconduct,No,From the Right,146,75,33,49
none,2009,King's College,Bob Casey,,Bob,,Casey,Commencement,Views on Abortion/Contraception,No,From the Right,147,76,34,50
none,2009,University of North Carolina at Chapel Hill,Virgil Goode,,Virgil,,Goode,Campus Speech/Debate,"Racial Issues, Views on Immigration",No,From the Left,148,77,35,51
none,2010,Ohio Wesleyan University,John McCain,,John,,McCain,Commencement,Views on Immigration,No,From the Left,150,78,36,52
none,2010,Saint Louis University,Pietro Sambi,,Pietro,,Sambi,Commencement,Views on Sexual Orientation,No,From the Left,151,79,37,53
none,2010,"Indiana University, Bloomington",Tom Woods,,Tom,,Woods,Commencement,Other Political Views or Positions,No,From the Left,152,80,38,54
none,2010,Butler University,John Roberts,,John,,Roberts,Commencement,Other Political Views or Positions,No,From the Left,153,81,39,55
none,2010,University of Minnesota,,,,,,Campus Speech/Debate,Other Political Views or Positions,No,From the Left,154,82,40,56
none,2010,Seton Hall University School of Law,Chris Christie,,Chris,,Christie,Commencement,"Other Political Views or Positions, Local Politics",No,From the Left,155,83,41,57
none,2011,Messiah College,Frances Piven,,Frances,,Piven,Campus Speech/Debate,Other Political Views or Positions,No,From the Right,166,85,42,58
none,2011,Albright College,Tom Corbett,,Tom,,Corbett,Commencement,"Other Political Views or Positions, Local Politics",No,From the Left,167,86,43,59
none,2011,Catholic University of America,John Boehner,,John,,Boehner,Commencement,Other Political Views or Positions,No,From the Left,176,90,44,60
none,2011,Everett Community College,Raymond Ibrahim,,Raymond,,Ibrahim,Campus Speech/Debate,Views on Islam,No,From the Left,180,93,45,61
none,2012,Gonzaga University,Desmond Tutu,,Desmond,,Tutu,Commencement,"Views on Abortion/Contraception, Views on Sexual Orientation",No,From the Right,188,99,46,62
none,2012,Liberty University,Mitt Romney,,Mitt,,Romney,Commencement,Speaker's Religion,No,N/A,189,100,47,63
none,2012,Adrian College,Pat Boone,,Pat,,Boone,Commencement,Views on Sexual Orientation,No,From the Left,191,101,48,64
none,2012,"Indiana University, Bloomington",Douglas Wilson,,Douglas,,Wilson,Campus Speech/Debate,Views on Sexual Orientation,No,From the Left,193,102,49,65
none,2012,University of North Carolina at Chapel Hill,Michael Bloomberg,,Michael,,Bloomberg,Commencement,"Racial Issues, Civil Liberties",No,From the Left,198,104,50,66
none,2013,Millersville University,Tom Corbett,,Tom,,Corbett,Commencement,Local Politics,No,From the Left,209,109,51,67
none,2013,Benedictine College,Paul Ryan ,,Paul,,Ryan,Commencement,Other Political Views or Positions,No,From the Left,211,111,52,68
none,2013,Coastal Carolina University,Tim Scott,,Tim,,Scott,Commencement,"Views on Gender, Other Political Views or Positions",No,From the Left,213,112,53,69
none,2013,St. John's University,Peter King,,Peter,,King,Commencement,Views on Islam,No,From the Left,214,113,54,70
none,2013,Tuskegee University,Louis Farrakhan,,Louis,,Farrakhan,Campus Speech/Debate,"Views on Sexual Orientation, Racial Issues",No,From the Left,216,114,55,71
none,2013,Xavier University,Anthony Munoz,,Anthony,,Munoz,Commencement,Views on Sexual Orientation,No,From the Left,219,115,56,72
none,2013,Yeshiva University,Jimmy Carter,,Jimmy,,Carter,Campus Speech/Debate,Views on Israeli-Palestinian Conflict,No,From the Right,227,120,57,73
none,2013,Midwestern State University,Ben Carson,,Ben,,Carson,Commencement,Views on Sexual Orientation,No,From the Left,229,121,58,74
none,2013,University of Illinois at Urbana-Champaign,Shahid Khan,,Shahid,,Khan,Commencement,Other Political Views or Positions,No,From the Left,237,123,59,75
none,2014,Goddard College,Mumia Abu-Jamal,,Mumia,,Abu-Jamal,Commencement,Criminal/Other Misconduct,No,From the Right,244,125,60,76
none,2014,Laney College,Janet Napolitano,,Janet,,Napolitano,Commencement,Views on Immigration,No,From the Left,253,126,61,77
